name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
Bishop Challoner Catholic College,Voluntary aided school,Open,Institute Road,Kings Heath,Birmingham,West Midlands,B14 7EG,http://www.bishopchalloner.org.uk/,1214444161.0,Dr,James,Coughlan,Principal,Roman Catholic,Mixed,Secondary,,Birmingham Hall Green and Moseley,103560,
Colmers School and Sixth Form College,Foundation school,Open,Bristol Road South,Rednal,Birmingham,West Midlands,B45 9NY,http://www.colmers.bham.sch.uk/,1214531778.0,Mr,Peter,White,Headteacher,,Mixed,Secondary,,Birmingham Northfield,103563,
Prenton Primary School,Community school,Open,Bramwell Avenue,,Prenton,Merseyside,CH43 0RQ,www.prentonprimary.co.uk/,1516082958.0,Mrs,Sandra,Lloyd,,Does not apply,Mixed,Primary,01/09/2005,Birkenhead,103598,
Hamilton School,Foundation special school,Open,Hamilton Road,Handsworth,Birmingham,West Midlands,B21 8AH,www.hamilton.bham.sch.uk,1214641676.0,Mrs,Katie,Williams,Headteacher,Does not apply,Mixed,Not applicable,26/02/1997,Birmingham Perry Barr,103600,
Victoria School,Community special school,Open,Bell Hill,Northfield,Birmingham,West Midlands,B31 1LD,http://www.victoria.bham.sch.uk/,1214769478.0,Mr,Gary,Coffey,Executive Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Northfield,103601,
Longwill A Primary School for Deaf Children,Foundation special school,Open,Bell Hill,Northfield,Birmingham,West Midlands,B31 1LD,www.longwill.bham.sch.uk,1214753923.0,Mrs,Alison,Carter,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Northfield,103603,
Uffculme School,Community special school,Open,Yew Tree Road,,Birmingham,,B13 8QG,www.uffculme.bham.sch.uk,1214649634.0,Miss,Charlotte,Stubbs,Acting Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Hall Green and Moseley,103605,
Baskerville School,Foundation special school,Open,Fellows Lane,Harborne,Birmingham,West Midlands,B17 9TS,www.baskerville.school,1214273191.0,Mr,Allan,Lacey,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Edgbaston,103606,
Braidwood School for the Deaf,Foundation special school,Open,Bromford Road,,Birmingham,West Midlands,B36 8AF,http://www.braidwood.bham.sch.uk,1214645558.0,Mrs,Charlotte,Nock,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Hodge Hill and Solihull North,103611,
Selly Oak Trust School,Foundation special school,Open,Oak Tree Lane,Selly Oak,Birmingham,West Midlands,B29 6HZ,http://www.sellyoak.bham.sch.uk,1214720876.0,Ms,Julie,Eaton,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Selly Oak,103613,
Priestley Smith School,Community special school,Open,Perry Beeches Campus,Beeches Road,Birmingham,West Midlands,B42 2PY,www.priestleysmith.com,1213253900.0,Mrs,Joanna,Garvey,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Erdington,103614,
The Dame Ellen Pinsent School,Foundation special school,Open,Ardencote Road,Kings Heath,Birmingham,West Midlands,B13 0RW,http://www.dameellenpinsent.bham.sch.uk,1216752487.0,Ms,Sasha,Taylor,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Selly Oak,103615,
The Pines Special School,Foundation special school,Open,Marsh Hill,,Birmingham,West Midlands,B23 7EY,http://www.thepinesspecialschool.com,1214646136.0,Miss,Emma,Pearce,Headteacher,Does not apply,Mixed,Not applicable,01/01/1900,Birmingham Erdington,103622,
Springfield House Community Special School,Community special school,Open,Kenilworth Road,Knowle,Solihull,West Midlands,B93 0AJ,http://www.spfldhs.bham.sch.uk,1564772772.0,Mr,Paul,Yeomans,Headteacher,Does not apply,Mixed,Not applicable,,Meriden and Solihull East,103623,
Fox Hollies School,Foundation special school,Open,Highbury Community Campus,Queensbridge Road,Birmingham,West Midlands,B13 8QB,https://www.foxhollies.bham.sch.uk/,1214646566.0,Mrs,Sinead,Davies,Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Hall Green and Moseley,103625,
Cherry Oak School,Community special school,Open,60 Frederick Road,Selly Oak,Birmingham,West Midlands,B29 6PB,www.cherryoak.bham.sch.uk,1214642037.0,Mr,Gary,Coffey,Executive Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Selly Oak,103626,
Beaufort School,Community special school,"Open, but proposed to close",Stechford Road,Hodge Hill,Birmingham,West Midlands,B34 6BJ,www.beaufort.bham.sch.uk,1216758500.0,Ms,Nova,Harvey,Executive Head Teacher,Does not apply,Mixed,Not applicable,01/01/1900,Birmingham Hodge Hill and Solihull North,103627,
Oscott Manor School,Community special school,"Open, but proposed to close",290 Reservoir Road,Erdington,Birmingham,West Midlands,B23 6DE,www.oscottmanor.bham.sch.uk,1213608222.0,Mr,Stuart,Evans,Headteacher,Does not apply,Mixed,Not applicable,01/01/1900,Birmingham Erdington,103628,
Langley School,Foundation special school,Open,Trinity Road,,Sutton Coldfield,West Midlands,B75 6TJ,http://www.langley.bham.sch.uk,1216752929.0,Mrs,Antoinette,McCarroll,Headteacher,Does not apply,Mixed,Not applicable,,Sutton Coldfield,103630,
Lindsworth School,Community special school,Open,Monyhull Hall Road,Kings Norton,Birmingham,West Midlands,B30 3QA,www.lindsworth.co.uk,1216935363.0,Mrs,Kathryn,Beale,Executive Headteacher,Does not apply,Mixed,Not applicable,,Birmingham Selly Oak,103632,
Hillfields Nursery School,Local authority nursery school,Open,Clifton Street,Hillfields,Coventry,West Midlands,CV1 5GR,www.hillfieldscoventry.co.uk,2476228174.0,Headteacher,Fiona,Brinson,Headteacher,Does not apply,Mixed,Nursery,,Coventry South,103633,
Hollyfast Primary School,Community school,Open,Hollyfast Road,Coundon,Coventry,West Midlands,CV6 2AH,www.hollyfast.com,2476332521.0,Mr,Gary,Watson,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103639,
Earlsdon Primary School,Community school,Open,Earlsdon Avenue North,,Coventry,West Midlands,CV5 6FZ,https://www.earlsdonprimary.co.uk/,2476672917.0,Mrs,Rhona,Forde,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103641,
Edgewick Community Primary School,Community school,Open,Cross Road,Off Foleshill Road,Coventry,West Midlands,CV6 5GP,http://www.edgewick.coventry.sch.uk/,2476686893.0,Mrs,Sally,Snooks,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103642,
Gosford Park Primary School,Community school,Open,Humber Avenue,,Coventry,West Midlands,CV1 2SF,www.gosfordpark-coventry.org.uk/,2476223281.0,Mrs,Rachael,Allen,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103643,
Little Heath Primary School,Community school,Open,Spring Road,,Coventry,West Midlands,CV6 7FN,www.littleheath.coventry.sch.uk,2476688006.0,Mrs,Joanne,Stanley,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103647,
Longford Park Primary School,Community school,Open,Windmill Road,,Coventry,West Midlands,CV6 7AT,www.longfordpark.coventry.sch.uk/,2476687688.0,Mrs,Jennifer,Goode,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103648,
St Christopher Primary School,Community school,Open,Allesley Old Road,Allesley,Coventry,West Midlands,CV5 9JG,www.st-christopher.coventry.sch.uk/,2476675017.0,Mrs,Clair,Robinson,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103652,
Whitley Abbey Primary School,Community school,Open,Ashington Grove,Whitley,Coventry,West Midlands,CV3 4DE,www.whitleyabbeyprimary.co.uk/,2476303392.0,Mr,Robbie,Walker,Head Teacher,Does not apply,Mixed,Primary,,Coventry South,103655,
Allesley Hall Primary School,Community school,Open,Winsford Avenue,,Coventry,West Midlands,CV5 9NG,www.allesleyhall.co.uk/,2476674586.0,Mr,Duncan,Cottrill,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103656,
Ernesford Grange Primary School,Community school,Open,Foxton Road,Binley,Coventry,West Midlands,CV3 2HN,https://ernesfordgrangeprimary.com/,2476454843.0,Mr,Ian,Taylor,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103658,
Potters Green Primary School,Community school,Open,Ringwood Highway,,Coventry,West Midlands,CV2 2GF,www.pottersgreen.coventry.sch.uk,2476613670.0,Mrs,Gillian,Deery,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103659,
Allesley Primary School,Community school,Open,Antrim Close,Allesley,Coventry,West Midlands,CV5 9FY,www.allesleyprimary.co.uk,2476402611.0,Mrs,Linda,Hoey,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103662,
Grangehurst Primary School,Community school,Open,Anderton Road,Longford,Coventry,West Midlands,CV6 6JN,www.grangehurst.coventry.sch.uk,2476365999.0,Mr,Darren,Clews,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103663,
Grange Farm Primary School,Community school,Open,Dewsbury Avenue,,Coventry,West Midlands,CV3 6NF,www.grangefarmschool.co.uk/,2476411098.0,Mr,Matthew,Walters,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103664,
Eastern Green Junior School,Community school,Open,Sutton Avenue,,Coventry,West Midlands,CV5 7EG,www.easterngreenjuniorschool.co.uk,2476465077.0,Mrs,Sara,Nealon,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103665,
Park Hill Primary School,Community school,Open,Lower Eastern Green Lane,Eastern Green,Coventry,West Midlands,CV5 7LR,www.parkhillprimaryschool.co.uk,2476466669.0,Mr,Paul,Griffin,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103666,
Cannon Park Primary School,Community school,Open,Bransford Avenue,,Coventry,West Midlands,CV4 7PS,www.cannonpark.coventry.sch.uk/,2476414683.0,Mr,Tom,Ray,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103667,
Sowe Valley Primary School,Community school,Open,Princethorpe Way,,Coventry,West Midlands,CV3 2QX,www.sowevalleyprimary.co.uk/,2476456063.0,Miss,E,White,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103671,
Broad Heath Community Primary School,Community school,Open,Hanford Close,,Coventry,West Midlands,CV6 5DP,www.broadheath.coventry.sch.uk/,2476689558.0,Mr,Joss,Andrews,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103672,
Joseph Cash Primary School,Community school,Open,Owenford Road,Radford,Coventry,West Midlands,CV6 3FS,www.josephcashprimary.co.uk,2476594851.0,Mrs,Helen,Nelson,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103673,
Whoberley Hall Primary School,Community school,Open,Overdale Road,,Coventry,West Midlands,CV5 8AJ,www.whoberleyhall-coventry.org.uk/,2476673452.0,Mrs,Lisa,Speedy,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103674,
Holbrook Primary School,Community school,Open,Gateside Road,,Coventry,West Midlands,CV6 6FR,http://www.holbrookprimary.com,2476688947.0,Mrs,Amy,Bills,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103676,
Stoke Primary School,Community school,Open,Briton Road,,Coventry,West Midlands,CV2 4LF,www.stoke.coventry.sch.uk,2476451724.0,Mr,Matthew,Ascroft,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103679,
Coundon Primary School,Community school,Open,Forfield Road,Coundon,Coventry,West Midlands,CV6 1FQ,www.coundon.coventry.sch.uk/,2476592559.0,Mrs,Natasha,Maude,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103680,
Aldermoor Farm Primary School,Community school,Open,Acorn Street,Stoke Aldermoor,Coventry,West Midlands,CV3 1DP,https://afprimary.org.uk,2476456272.0,Mrs,Lucy,Wright,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103681,
Ravensdale Primary School,Community school,Open,Ravensdale Road,,Coventry,West Midlands,CV2 5GQ,http://www.ravensdale-coventry.org.uk/,2476444966.0,Miss,Jennie,Nurse,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103682,
Stoke Heath Primary School,Community school,Open,Heath Crescent,,Coventry,West Midlands,CV2 4PR,www.stokeheath.coventry.sch.uk/,2476454741.0,Miss,Louise,Kelman,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103684,
Whitmore Park Primary School,Community school,Open,Halford Lane,,Coventry,West Midlands,CV6 2HG,www.whitmorepark.org,2476335697.0,Mrs,Jacqueline,McGibney,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103685,
Stivichall Primary School,Community school,Open,Coat of Arms Bridge Road,,Coventry,West Midlands,CV3 6PY,www.stivichallprimary.org/,2476419555.0,Mrs,Karen,Ferguson,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103686,
John Gulson Primary School,Community school,Open,George Street,,Coventry,West Midlands,CV1 4HB,www.johngulson.coventry.sch.uk,2476227791.0,Mrs,Victoria,Watson,Headteacher,Does not apply,Mixed,Primary,,Coventry East,103690,
Manor Park Primary School,Community school,Open,Ulverscroft Road,Cheylesmore,Coventry,West Midlands,CV3 5EZ,www.manorpark.coventry.sch.uk/,2476501736.0,Mrs,Rebekah,Swindell,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103691,
Templars Primary School,Community school,Open,Templar Avenue,,Coventry,West Midlands,CV4 9DA,www.templars.coventry.sch.uk,2476466337.0,Mrs,Helen,Benarous,Headteacher,Does not apply,Mixed,Primary,,Coventry South,103692,
Wyken Croft Primary School,Community school,Open,Wyken Croft,Wyken,Coventry,West Midlands,CV2 3AA,www.wykencroft.coventry.sch.uk,2476613932.0,Mrs,G,Franklin,Executive Headteacher,Does not apply,Mixed,Primary,,Coventry East,103696,
Moseley Primary School,Community school,Open,Moseley Avenue,Coundon,Coventry,West Midlands,CV6 1AB,www.moseleyprimaryschool.co.uk/,2476593572.0,Mrs,Nikki,Evans,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103697,
John Shelton Community Primary School,Community school,Open,Briscoe Road,Holbrooks,Coventry,West Midlands,CV6 4JP,www.johnshelton.org.uk,2476686063.0,Mrs,Janine,Storer,Headteacher,Does not apply,Mixed,Primary,,Coventry North West,103698,
All Saints Church of England Primary School,Voluntary controlled school,Open,Strathmore Avenue,,Coventry,West Midlands,CV1 2AF,www.allsaintscofe.co.uk,2476224810.0,Mrs,Cara,Page,Headteacher,Church of England,Mixed,Primary,,Coventry South,103702,
St Andrew's Church of England Infant School,Voluntary controlled school,Open,Church Lane,Eastern Green,Coventry,West Midlands,CV5 7BX,www.st-andrews-coventry.org.uk,2476466309.0,Mrs,Allison,Underhill,Headteacher,Church of England,Mixed,Primary,,Coventry North West,103703,
St Osburg's Catholic Primary School,Voluntary aided school,Open,Upper Hill Street,,Coventry,West Midlands,CV1 4AP,www.st-osburgs.coventry.sch.uk,2476227165.0,Mrs,Nicola,Rynott,Headteacher,Roman Catholic,Mixed,Primary,,Coventry North West,103711,
Our Lady of the Assumption Catholic Primary School,Voluntary aided school,Open,Hawthorn Lane,Tile Hill,Coventry,West Midlands,CV4 9LB,http://www.ourlady.coventry.sch.uk,2476466655.0,Mrs,Rachel,Askew,Headteacher,Roman Catholic,Mixed,Primary,,Coventry North West,103712,
St Anne's Catholic Primary School,Voluntary aided school,Open,Chace Avenue,Willenhall,Coventry,West Midlands,CV3 3AD,www.st-annes-coventry.org.uk/,2476302882.0,Mrs,Rachael,Batson,Headteacher,Roman Catholic,Mixed,Primary,,Coventry East,103719,
All Souls' Catholic Primary School,Voluntary aided school,Open,Abercorn Road,Chapelfields,Coventry,West Midlands,CV5 8ED,www.allsoulsschool.co.uk/,2476675836.0,Mr,Andrew,Cooke,Headteacher,Roman Catholic,Mixed,Primary,,Coventry North West,103724,
Holy Family Catholic Primary School,Voluntary aided school,Open,Holy Family Catholic Primary,,Coventry,West Midlands,CV6 2GU,www.holyfamily.coventry.sch.uk/,2476333631.0,Mrs,Grainne,Griffiths,Headteacher,Roman Catholic,Mixed,Primary,,Coventry North West,103726,
Sherbourne Fields School,Community special school,Open,Rowington Close,,Coventry,West Midlands,CV6 1PR,https://www.sherbournefields.co.uk,2476591501.0,Ms,Shivaun,Duffy,Headteacher,Does not apply,Mixed,Not applicable,,Coventry North West,103760,
Tiverton School,Community special school,Open,Ashington Grove,,Coventry,West Midlands,CV3 4DE,www.tiverton-coventry.org.uk,2476594954.0,Mrs,Alison,Neale,Headteacher,Does not apply,Mixed,Not applicable,,Coventry South,103763,
Netherton Park Nursery School,Local authority nursery school,Open,Netherton Park,Netherton,Dudley,West Midlands,DY2 9QF,www.nethertonparknursery.co.uk,1384818255.0,Miss,Alison,Ward,Headteacher,Does not apply,Mixed,Nursery,,Stourbridge,103766,
Brierley Hill Primary School,Community school,Open,Mill Street,,Brierley Hill,West Midlands,DY5 2TD,http://www.brierley.dudley.sch.uk/,1384816980.0,Mr,Russell,Bond,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103776,
Brockmoor Primary School,Community school,Open,Belle Isle,Brockmoor,Brierley Hill,West Midlands,DY5 3UZ,http://www.brockmoor.dudley.sch.uk,1384816635.0,Mr,Russell,Bond,Headteacher,Does not apply,Mixed,Primary,,Dudley,103777,
Brook Primary School,Community school,Open,George Street,Wordsley,Stourbridge,West Midlands,DY8 5YN,http://www.brook.dudley.sch.uk/,1384389888.0,Mrs,Marie,Fellows,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103778,
Maidensbridge Primary School,Community school,Open,Beachcroft Road,Wall Heath,Kingswinford,West Midlands,DY6 0HX,maidensbridge.sch.life,1384818405.0,Mrs,Katie,Thomas,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103779,
Mount Pleasant Primary School,Community school,Open,Mount Pleasant,Quarry Bank,Brierley Hill,West Midlands,DY5 2YN,http://www.mount.dudley.sch.uk/,1384816910.0,Mrs,Claire,Grinsell,Acting Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103780,
Dawley Brook Primary School,Community school,Open,Dubarry Avenue,Valley Fields,Kingswinford,West Midlands,DY6 9BP,http://www.dawley.dudley.sch.uk,1384818770.0,Mr,Matthew,Walters,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103781,
Red Hall Primary School,Community school,Open,Zoar Street,Lower Gornal,Dudley,West Midlands,DY3 2PA,www.redhallprimary.co.uk/,1384813850.0,Mrs,Helen,Tomlinson,Headteacher,Does not apply,Mixed,Primary,,Dudley,103784,
Crestwood Park Primary School,Community school,Open,Lapwood Avenue,Crestwood Park Estate,Kingswinford,West Midlands,DY6 8RP,http://www.crestwood-p.dudley.sch.uk/,1384818315.0,Mrs,Elizabeth,Kennedy,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103790,
Peters Hill Primary School,Community school,Open,Peters Hill Road,Amblecote,Brierley Hill,West Midlands,DY5 2QH,www.petershillprimary.org/,1384816740.0,Mr,Simon,Duncan,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103791,
Blanford Mere Primary School,Community school,Open,Mimosa Walk,,Kingswinford,West Midlands,DY6 7EA,www.blanford.dudley.sch.uk/,1384818365.0,Mrs,Kerry,Crook,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103792,
Greenfield Primary School,Community school,Open,Hill Street,,Stourbridge,West Midlands,DY8 1AL,www.greenfield.dudley.sch.uk/,1384818585.0,Mr,Samuel,Darby,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103799,
Wollescote Primary School,Community school,Open,Drummond Road,Wollescote,Stourbridge,West Midlands,DY9 8YA,http://www.wollescoteschool.com,1384818500.0,Miss,Lynne,Hudson,Headteacher,Does not apply,Mixed,Primary,,Halesowen,103800,
Caslon Primary Community School,Community school,Open,Beeches View Avenue,,Halesowen,West Midlands,B63 2ES,www.caslon.dudley.sch.uk,1384818875.0,Mrs,Lynnette,Holden-Gough,Acting Headteacher,Does not apply,Mixed,Primary,,Halesowen,103801,
The Ridge Primary School,Community school,Open,Gregory Road,Wollaston,Stourbridge,West Midlands,DY8 3NF,http://www.ridge.dudley.sch.uk,1384818800.0,Mrs,Deborah,Hudson,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103805,
Amblecote Primary School,Community school,Open,School Drive,Amblecote,Stourbridge,West Midlands,DY8 4DQ,www.amblecote.dudley.sch.uk/,1384818335.0,Mrs,Jane,Cook,Headteacher,Does not apply,Mixed,Primary,,Stourbridge,103806,
Hurst Green Primary School,Community school,Open,Narrow Lane,,Halesowen,West Midlands,B62 9NZ,http://www.hurstgreen-dudley.co.uk/,1384818210.0,Miss,Kellie,Wilson,Headteacher,Does not apply,Mixed,Primary,,Halesowen,103807,
Cotwall End Primary School,Community school,Open,Cotwall End Road,Sedgley,Dudley,West Midlands,DY3 3YG,www.cotwall.dudley.sch.uk/,1384818730.0,Mrs,Claire,Williams,Headteacher,Does not apply,Mixed,Primary,,Dudley,103810,
Russells Hall Primary School,Community school,Open,Overfield Road,Russells Hall Estate,Dudley,West Midlands,DY1 2NX,www.russellshall.org.uk/,1384816785.0,Miss,Alison,Harrison,Head Teacher,Does not apply,Mixed,Primary,,Dudley,103813,
Howley Grange Primary School,Community school,Open,Howley Grange Road,,Halesowen,West Midlands,B62 0HS,www.howleygrange.co.uk,1384685101.0,Miss,Angela,Lewis,Headteacher,Does not apply,Mixed,Primary,,Halesowen,103814,
Ashwood Park Primary School,Community school,Open,Bells Lane,Wordsley,Stourbridge,West Midlands,DY8 5DJ,http://www.ashwood.dudley.sch.uk/,1384818545.0,Mr,Keith,Butler,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103818,
Bromley Hills Primary School,Community school,Open,Granville Drive,,Kingswinford,West Midlands,DY6 8LW,http://www.bromhills.dudley.sch.uk,1384816940.0,Mr,Jon,Stevens,,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103819,
Roberts Primary School,Community school,Open,"Roberts Primary School,  Robert Street",Lower Gornal,Dudley,West Midlands,DY3 2AZ,www.robertsprimary.org.uk/,1384818275.0,Mr,Carl,Watkins,Headteacher,Does not apply,Mixed,Primary,,Dudley,103821,
Wrens Nest Primary School,Community school,Open,Marigold Crescent,Wrens Nest Estate,Dudley,West Midlands,DY1 3NX,http://www.wrens-nest.dudley.sch.uk/,1384818515.0,Mrs,Sarah,Parkes,Headteacher,Does not apply,Mixed,Primary,,Dudley,103823,
Straits Primary School,Community school,Open,Longfellow Road,Lower Gornal,Dudley,West Midlands,DY3 3EE,www.straitsprimaryschool.com/,1384818575.0,Mr,Paul,Freear,Headteacher,Does not apply,Mixed,Primary,,Dudley,103827,
Belle Vue Primary School,Community school,Open,Lawnswood Road,Wordsley,Stourbridge,West Midlands,DY8 5BZ,http://www.belle-vue.dudley.sch.uk,1384389900.0,Mr,Joel,Marshall,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103828,
Dingle Community Primary School,Community school,Open,Madeley Road,,Kingswinford,West Midlands,DY6 8PF,http://www.dingle.dudley.sch.uk,1384818305.0,Ms,Nichola,Heather,Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103829,
Quarry Bank Primary School,Community school,Open,High Street,Quarry Bank,Brierley Hill,West Midlands,DY5 2AD,http://www.quarry.dudley.sch.uk/,1384818750.0,Mr,Alex,Rawlings,Headteacher,Does not apply,Mixed,Primary,,Halesowen,103830,
Glynne Primary School,Community school,Open,Cot Lane,,Kingswinford,West Midlands,DY6 9TH,http://www.glynne.dudley.sch.uk/,1384816960.0,Miss,Tracey,Powell,Acting Headteacher,Does not apply,Mixed,Primary,,Kingswinford and South Staffordshire,103832,
Milking Bank Primary School,Community school,Open,Milking Bank Primary School,Aintree Way,DUDLEY,West Midlands,DY1 2SL,www.milking.dudley.sch.uk/,1384816695.0,Mrs,Karen,Brass,Headteacher,Does not apply,Mixed,Primary,,Dudley,103834,
St Mark's CofE Primary School,Voluntary controlled school,Open,High Street,Pensnett,Brierley Hill,West Midlands,DY5 4DZ,www.st-marks.dudley.sch.uk/,1384818935.0,Mr,Keith,Rondeau,Headteacher,Church of England,Mixed,Primary,,Dudley,103836,
Oldswinford C of E Primary School,Voluntary controlled school,Open,Field Lane,Oldswinford,Stourbridge,West Midlands,DY8 2JQ,http://www.oldswinford.dudley.sch.uk,1384818790.0,Mrs,Elena,Game,Headteacher,Church of England,Mixed,Primary,,Stourbridge,103839,
St Margaret's At Hasbury CofE Primary School,Voluntary controlled school,Open,Hagley Road,Hasbury,Halesowen,West Midlands,B63 4QD,http://www.hasbury.dudley.sch.uk/,1384818660.0,Mrs,Sara,Shepherd,Headteacher,Church of England,Mixed,Primary,,Halesowen,103840,
Cradley CofE Primary School,Voluntary aided school,Open,Church Road,Cradley,Halesowen,West Midlands,B63 2UL,http://www.cradleycofe.com,1384818230.0,Mrs,Claire,Warford,Headteacher,Church of England,Mixed,Primary,,Halesowen,103846,
Halesowen CofE Primary School,Voluntary aided school,Open,High Street,,Halesowen,West Midlands,B63 3BB,http://www.halesowen.dudley.sch.uk,1384818885.0,Mrs,Lorna,Knowles,Headteacher,Church of England,Mixed,Primary,,Halesowen,103847,
Our Lady and St Kenelm RC School,Voluntary aided school,Open,Bundle Hill,,Halesowen,West Midlands,B63 4AR,http://www.our-lady.dudley.sch.uk,1384816880.0,Mrs,Christine,Finnegan,Headteacher,Roman Catholic,Mixed,Primary,,Halesowen,103850,
St James's CofE Primary School,Voluntary aided school,Open,Kingsway,Wollaston,Stourbridge,West Midlands,DY8 4RU,http://www.st-james.dudley.sch.uk,1384818810.0,Mrs,Natalie,Sefton,Headteacher,Church of England,Mixed,Primary,,Stourbridge,103851,
Summerhill School,Community school,Open,Lodge Lane,,Kingswinford,West Midlands,DY6 9XE,http://www.summerhill.dudley.sch.uk,1384816165.0,Mr,Tim,Harris,Executive Headteacher,Does not apply,Mixed,Secondary,,Kingswinford and South Staffordshire,103854,
The Dormston School,Community school,Open,Mill Bank,Sedgley,Dudley,West Midlands,DY3 1SN,http://www.dormston.dudley.sch.uk/,1384816395.0,Mrs,Caroline,Sutton,Headteacher,Does not apply,Mixed,Secondary,,Dudley,103855,
The Wordsley School,Community school,Open,Brierley Hill Road,Wordsley,Stourbridge,West Midlands,DY8 5SP,http://www.wordsleyschool.co.uk/,1384816015.0,Mr,Ashley,Weatherhogg,Headteacher,Does not apply,Mixed,Secondary,,Kingswinford and South Staffordshire,103858,
Alder Coppice Primary School,Foundation school,Open,Northway,Sedgley,Dudley,West Midlands,DY3 3PS,http://www.alder.dudley.sch.uk,1384816610.0,Headteacher,Peter,Mandelstam,Headteacher,,Mixed,Primary,,Dudley,103869,
Old Swinford Hospital,Voluntary aided school,Open,Heath Lane,,Stourbridge,West Midlands,DY8 1QX,http://www.oshsch.com,1384817300.0,Mr,Paul,Kilbride,Headmaster,Church of England,Mixed,Secondary,,Stourbridge,103870,
Sutton School,Foundation special school,Open,Scotts Green Close,Russells Hall Estate,Dudley,West Midlands,DY1 2DU,http://www.sutton.dudley.sch.uk/,1384818670.0,Mr,Ian,Curnow,Headteacher,Does not apply,Mixed,Not applicable,,Dudley,103877,
The Brier School,Community special school,Open,Bromley Lane,,Kingswinford,West Midlands,DY6 8QN,www.brier.dudley.sch.uk,1384816000.0,Mr,David,Stanton,Headteacher,Does not apply,Mixed,Not applicable,,Kingswinford and South Staffordshire,103878,
Woodsetton School,Community special school,Open,Tipton Road,Woodsetton,Dudley,West Midlands,DY3 1BY,http://www.woodsetton.dudley.sch.uk,1384818265.0,Mr,David,Stanton,Headteacher,Does not apply,Mixed,Not applicable,,Dudley,103879,
The Old Park School,Community special school,Open,Thorns Road,,Brierley Hill,West Midlands,DY5 2JY,http://www.oldpark.org,1384818905.0,Miss,Tina,Partridge,Headteacher,Does not apply,Mixed,Not applicable,,Stourbridge,103880,
Halesbury School,Foundation special school,Open,Feldon Lane,,Halesowen,West Midlands,B62 9DR,http://www.halesbury.dudley.sch.uk/,1384818630.0,Mrs,Amanda,Appleby Payne,Headteacher,Does not apply,Mixed,Not applicable,,Halesowen,103881,
